Dynamic text (quote);index.php;id_quotes;(1901, 20); (9, 49)
Page title (Sing Up);index.php;id_f_title;(151, 44);(554, 87)
text (current location);index.php;id_current_location;(178, 24);(1150, 71)
Image (weather icon);index.php;id_weather_icon;(50, 50);(1197, 99)
Dynamic text (temperature);index.php;id_temperature;(70, 42);(1258, 103)
Label (first name);index.php;id_f_label_fn;(104, 24);(554, 153)
Field (first name);index.php;id_fname;(386, 43); (554, 183)
Label (last name);index.php;id_f_label_ln;(103, 24); (979, 153)
Field (last name);index.php;id_lname;(386, 43);(979, 183)
Label (email address);index.php;id_f_label_ea;(138, 24);(554, 233)
Field (email address);index.php;id_email;(386, 43); (554, 263)
Label (phone number);index.php;id_f_label_pn;(143, 24);(979, 233)
Field (phone number);index.php;id_phone;(386, 43);(979, 263)
Label (radio male);index.php;id_r_label_m;(44, 22); (606, 355)
Radio Button (male);index.php;id_g_radio_01;(26, 26); (566, 354)
Label (radio female);index.php;id_r_label_f;(67, 22);(785, 355)
Radio Button (female);index.php;id_g_radio_02;(26, 26);(745, 354)
Label (state);index.php;id_f_label_s;(50, 24);(979, 313)
Drop-down List (state);index.php;id_state;(344, 44);(979, 343)
Label (I agree to the Terms);index.php;id_cb_label;(231, 30);(597, 414)
Checkbox (terms);index.php;id_checkbox;(26, 26);(554, 419)
Image (facebook);index.php;id_img_facebook;(60, 60);(554, 478)
Image (twitter);index.php;id_img_twitter;(60, 60);(622, 478)
Image (flickr);index.php;id_img_flickr;(60, 60);(691, 478)
Image (youtube);index.php;id_img_youtube;(60, 60);(760, 478)
Button (Reset);index.php;id_reset_button;(104, 37);(991, 494)
Button (Submit);index.php;id_submit_button;(118, 37);(1246, 494)
Dynamic text (today?s date);index.php;timestamp;(290, 24);(535, 551)
Dynamic text (copyright);index.php;copyright;(250, 24);(825, 551)
Dynamic text (os & browser);index.php;os_browser;(310, 24); (1075, 551)
Page title (Confirmation);confirmation.php;id_f_title;(249, 44);(560, 85)
Confirmation Label (first name);confirmation.php;id_f_label_fn_conf;(104, 24);(561, 154)
Confirmation Field (first name);confirmation.php;id_fname_conf;(10, 42);(561, 186)
Confirmation Label (last name);confirmation.php;id_f_label_ln_conf;(103, 24);(986, 154)
Confirmation Field (last name);confirmation.php;id_lname_conf;(10, 42);(986, 186)
Confirmation Label (email address);confirmation.php;id_f_label_email_conf;(138, 24);(561, 234)
Confirmation Field (email address);confirmation.php;id_email_conf;(10, 42);(561, 266)
Confirmation Label (phone number);confirmation.php;id_f_label_phone_conf;(143, 24);(986, 234)
Confirmation Field (phone number);confirmation.php;id_phone_conf;(10, 42);(986, 266)
Confirmation Label (gender);confirmation.php;id_f_label_gender_conf;(71, 24);(561, 314)
Confirmation Field (gender);confirmation.php;id_gender_conf;(10, 42);(561, 346)
Confirmation Label (state);confirmation.php;id_f_label_state_conf;(50, 24);(986, 314)
Confirmation Field (state);confirmation.php;id_state_conf;(10, 42);(986, 346)
Confirmation Label (Terms?);confirmation.php;id_f_label_terms_conf;(70, 24);(561, 394)
Confirmation Field (terms);confirmation.php;id_terms_conf;(10, 42);(561, 426)
Confirmation Button (Back);confirmation.php;id_back_button;(120, 37);(986, 492)
